PROVNUM,PROVNAME,STATE,MDScensus,Fine Amount,WorkDate,Total_RN_Hours,Contractor_RN_Hours,Total_LPN_Hours,Contractor_LPN_Hours,Total_CNA_Hours,Contractor_CNA_Hours,Total_Hours,Total_Contractor_Hours,Contractor_Percentage,Opportunity_Score,Opportunity_Tier
105234,REHABILITATION AND HEALTHCARE CENTER OF TAMPA,FL,161.28571428571428,23522863.0,273,30214.5,9.0,10650.0,0.0,86200.5,0.0,127065.0,9.0,0.007082989021367016,3321036207.8833337,Very High
105269,GROVES CENTER,FL,109.76923076923077,21396739.0,182,6286.5,4.0,10712.0,0.0,40830.5,0.0,57829.0,4.0,0.0069169447854882495,3093380049.0775003,Very High
525604,SOUTHPOINTE CARE AND REHAB CENTER LLC,WI,99.15384615384616,22221927.0,637,30478.0,0.0,40258.96,17.5,142244.55,0.0,212981.50999999998,17.5,0.008216675710487733,2704491181.46844,Very High
185211,SIGNATURE HEALTHCARE OF MCCREARY COUNTY REHAB & WE,KY,51.175824175824175,12714520.0,182,6243.34,2.0,4189.64,0.0,16340.9,0.0,26773.879999999997,2.0,0.007469966997685804,1702085163.688,Very High
525730,MEDICAL SUITES AT OAK CREEK (THE),WI,110.28571428571429,34631688.0,1001,14325.52,0.0,121060.72,0.0,207619.06,79.53,343005.3,79.53,0.023186230650080335,1493631652.4514523,Very High
105155,SARASOTA HEALTH AND REHABILITATION CENTER,FL,119.18681318681318,23369255.0,273,11268.75,15.0,16181.25,0.0,64684.5,0.0,92134.5,15.0,0.016280546375136352,1435409749.8649998,Very High
185277,SIGNATURE HEALTHCARE AT HERITAGE HALL REHAB & WELL,KY,78.41758241758242,16855657.0,182,6143.14,6.0,11608.18,0.0,27920.62,0.0,45671.94,6.0,0.01313716912397415,1283050925.2743,Very High
146161,SOUTHVIEW MANOR,IL,147.57142857142858,83898542.0,1729,92132.9,0.0,84377.1,0.0,305208.4,0.0,481718.4,0.0,0.0,838985420.0,Very High
095019,DEANWOOD REHABILITATION AND WELLNESS CENTER,DC,258.7362637362637,65224159.0,364,44747.0,0.0,81862.0,0.0,225263.0,0.0,351872.0,0.0,0.0,652241590.0,Very High
175113,LEGACY ON 10TH AVENUE,KS,52.76923076923077,10343515.0,273,3517.77,0.0,7945.2,0.0,14626.47,4.5,26089.44,4.5,0.017248357956322558,599681142.1813333,Very High
445094,"NHC HEALTHCARE, LEWISBURG",TN,60.56043956043956,53019694.0,546,19806.0,0.0,36994.5,0.0,60400.5,0.0,117201.0,0.0,0.0,530196940.0,Very High
455725,OAKMONT HEALTHCARE AND REHABILITATION CENTER OF HU,TX,60.73626373626374,50350755.0,637,20041.98,0.0,32054.89,0.0,61522.72,0.0,113619.59,0.0,0.0,503507550.0,Very High
395258,SILVER LAKE HEALTHCARE CENTER,PA,153.63736263736263,43264403.0,182,12154.0,0.0,19805.5,0.0,63823.5,0.0,95783.0,0.0,0.0,432644030.0,Very High
105274,CLEARWATER CENTER,FL,98.26373626373626,8324771.0,182,3155.0,10.0,14300.0,0.0,34478.0,0.0,51933.0,10.0,0.019255579304103362,432330332.34300005,Very High
455872,ARLINGTON RESIDENCE AND REHABILITATION CENTER,TX,84.14285714285714,41964468.0,2093,56762.85,0.0,151093.21,0.0,353746.44,0.0,561602.5,0.0,0.0,419644680.0,Very High
465119,PROVO REHABILITATION AND NURSING,UT,115.53846153846153,13483288.0,273,16534.98,33.75,26042.19,0.0,60207.03,0.0,102784.2,33.75,0.03283578604493687,410627843.0961777,Very High
255182,LAKEVIEW NURSING CENTER,MS,84.23076923076923,40962467.0,364,10478.64,0.0,33973.36,0.0,66493.36,0.0,110945.36,0.0,0.0,409624670.0,Very High
455429,ROSE TRAIL NURSING AND REHABILITATION CENTER,TX,70.7032967032967,40364779.0,637,5949.79,0.0,31552.92,0.0,81562.11,0.0,119064.82,0.0,0.0,403647790.0,Very High
26A490,FIESER NURSING CENTER,MO,39.81318681318681,37798397.0,7007,57743.840000000004,0.0,103583.48,0.0,493376.73,0.0,654704.05,0.0,0.0,377983970.0,Very High
445430,AHC LEWIS COUNTY,TN,81.02197802197803,36120357.0,273,3891.0,0.0,21488.25,0.0,58552.5,0.0,83931.75,0.0,0.0,361203570.0,Very High
475030,ELDERWOOD AT BURLINGTON,VT,85.82417582417582,35989317.0,546,25931.7,0.0,37850.64,0.0,114394.56,0.0,178176.9,0.0,0.0,359893170.0,Very High
265822,BRIDGEWOOD HEALTH CARE CENTER,MO,162.14285714285714,34682830.0,1001,8321.5,0.0,55189.75,0.0,135033.25,0.0,198544.5,0.0,0.0,346828300.0,Very High
455986,HENDERSON HEALTH & REHABILITATION CENTER,TX,82.7032967032967,33346495.0,91,436.23,0.0,8169.43,0.0,15560.0,0.0,24165.66,0.0,0.0,333464950.0,Very High
455815,FALLBROOK REHABILITATION AND CARE CENTER,TX,53.61538461538461,33225738.0,1911,49173.18,0.0,155900.22,0.0,192289.65,0.0,397363.05,0.0,0.0,332257380.0,Very High
275030,PARK PLACE TRANSITIONAL CARE AND REHABILITATION,MT,92.6923076923077,31604846.0,637,26049.45,0.0,67059.44,0.0,80246.18,0.0,173355.07,0.0,0.0,316048460.0,Very High
455486,ENNIS CARE CENTER,TX,72.41758241758242,30899687.0,364,4832.04,0.0,21485.8,0.0,27304.92,0.0,53622.759999999995,0.0,0.0,308996870.0,Very High
056361,"FORTUNA REHABILITATION AND WELLNESS CENTER, LP",CA,74.3076923076923,30310917.0,364,4168.12,0.0,27978.8,0.0,65910.16,0.0,98057.08,0.0,0.0,303109170.0,Very High
345080,THE GREENS AT VIEWMONT,NC,87.0,30266327.0,273,8495.25,0.0,9426.0,0.0,42627.75,0.0,60549.0,0.0,0.0,302663270.0,Very High
14E306,NORTH AURORA CARE CENTER,IL,98.31868131868131,29465800.0,273,6746.97,0.0,6964.68,0.0,25819.02,0.0,39530.67,0.0,0.0,294658000.0,Very High
185262,MADISON HEALTH AND REHABILITATION CENTER,KY,83.63736263736264,29416660.0,273,6707.7,0.0,18910.5,0.0,48122.7,0.0,73740.9,0.0,0.0,294166600.0,Very High
265883,ARBOR HILLS NURSING AND REHABILITATION CENTER,MO,77.71428571428571,28178150.0,364,3082.84,0.0,21339.12,0.0,45762.12,0.0,70184.08,0.0,0.0,281781500.0,Very High
455799,AUSTIN WELLNESS & REHABILITATION,TX,99.51648351648352,28053025.0,364,11143.2,0.0,25626.72,0.0,46305.68,0.0,83075.6,0.0,0.0,280530250.0,Very High
165175,GREATER SOUTHSIDE HEALTH AND REHABILITATION,IA,60.02197802197802,27819246.0,637,17398.5,0.0,18559.1,0.0,65931.46,0.0,101889.06,0.0,0.0,278192460.0,Very High
245544,VICTORY HEALTH & REHABILITATION CENTER,MN,63.16483516483517,27057758.0,455,13686.25,0.0,21930.0,0.0,50220.0,0.0,85836.25,0.0,0.0,270577580.0,Very High
505386,MARYSVILLE CARE CENTER,WA,65.37362637362638,26354692.0,546,28327.14,0.0,27338.88,0.0,83404.32,0.0,139070.34000000003,0.0,0.0,263546920.0,Very High
465086,MOUNTAIN VIEW HEALTH SERVICES,UT,44.879120879120876,26043472.0,182,5026.5199999999995,0.0,1377.26,0.0,13464.54,0.0,19868.32,0.0,0.0,260434720.0,Very High
135014,CALDWELL CARE OF CASCADIA,ID,58.857142857142854,10475738.0,182,2025.94,0.0,8159.5,0.0,26726.04,15.0,36911.48,15.0,0.0406377636442646,257783329.11482668,Very High
455591,FOCUSED CARE OF WAXAHACHIE,TX,66.85714285714286,25638431.0,637,11035.57,0.0,35054.88,0.0,61473.72,0.0,107564.17,0.0,0.0,256384310.0,Very High
146133,SANDWICH REHAB & HCC,IL,27.417582417582416,25638431.0,819,19608.66,0.0,6167.7,0.0,39532.59,0.0,65308.95,0.0,0.0,256384310.0,Very High
455653,SKYLINE NURSING CENTER,TX,173.4945054945055,25606945.0,273,12252.84,0.0,26352.78,0.0,70605.24,0.0,109210.86,0.0,0.0,256069450.0,Very High
37E204,RAINBOW TERRACE CARE CENTER,OK,27.252747252747252,25197445.0,3640,12692.0,0.0,15820.0,0.0,194432.0,0.0,222944.0,0.0,0.0,251974450.0,Very High
146152,ROCHELLE GARDENS CARE CENTER,IL,52.18681318681319,24682294.0,910,24642.1,0.0,10016.1,0.0,61701.3,0.0,96359.5,0.0,0.0,246822940.0,Very High
505280,RENTON HEALTH & REHABILITATION,WA,73.52747252747253,24580192.0,273,12789.57,0.0,12180.42,0.0,43098.6,0.0,68068.59,0.0,0.0,245801920.0,Very High
515164,WYOMING HEALTHCARE  CENTER,WV,57.30769230769231,24454703.0,91,1988.35,0.0,4103.0,0.0,10379.5,0.0,16470.85,0.0,0.0,244547030.0,Very High
455823,TREEMONT HEALTHCARE AND REHABILITATION CENTER,TX,79.4065934065934,24430042.0,455,21365.3,0.0,29257.25,0.0,53047.85,0.0,103670.4,0.0,0.0,244300420.0,Very High
26E256,JOHNSON COUNTY CARE CENTER,MO,74.97802197802197,24345503.0,4004,0.0,0.0,140567.24,0.0,267008.72,0.0,407575.95999999996,0.0,0.0,243455030.0,Very High
265001,ATHENE NURSING AND REHABILITATION,MO,133.0,24196627.0,1456,42743.68,0.0,118520.48,0.0,258511.04,0.0,419775.2,0.0,0.0,241966270.0,Very High
105311,DAYTONA BEACH HEALTH AND REHABILITATION CENTER,FL,142.42857142857142,23801050.0,91,4900.33,0.0,11519.12,0.0,34141.21,0.0,50560.66,0.0,0.0,238010500.0,Very High
455606,PARK VIEW CARE CENTER,TX,136.1098901098901,23655632.0,455,16586.7,0.0,40527.6,0.0,122110.0,0.0,179224.3,0.0,0.0,236556320.0,Very High
265776,"ESTATES OF SPANISH LAKE, THE",MO,115.98901098901099,23417667.0,3276,2115.72,0.0,126025.56,0.0,600684.12,0.0,728825.4,0.0,0.0,234176670.0,Very High
105299,WHISPERING OAKS,FL,224.32967032967034,5226767.0,91,12979.25,14.0,6025.75,0.0,42117.75,0.0,61122.75,14.0,0.022904728599416748,228195980.46375,Very High
505195,NORTH AUBURN REHAB & HEALTH CENTER,WA,66.5934065934066,22008805.0,364,9333.84,0.0,19741.56,0.0,58536.64,0.0,87612.04000000001,0.0,0.0,220088050.0,Very High
015420,CUMBERLAND HEALTH AND REHAB,AL,85.20879120879121,21875490.0,182,5692.5,0.0,7412.06,0.0,37847.659999999996,0.0,50952.22,0.0,0.0,218754900.0,Very High
445440,GALLAWAY HEALTH AND REHAB,TN,89.38461538461539,21537334.0,364,3823.0,0.0,33081.64,0.0,55375.56,0.0,92280.2,0.0,0.0,215373340.0,Very High
505075,REGENCY AT THE PARK,WA,65.15384615384616,21500570.0,637,13769.77,0.0,40098.87,0.0,113358.06999999999,0.0,167226.71,0.0,0.0,215005700.0,Very High
056238,WINDSOR VALLEJO NURSING & REHABILITATION CENTER,CA,154.69230769230768,21319207.0,364,16834.32,0.0,55236.72,0.0,127475.52,0.0,199546.56,0.0,0.0,213192070.0,Very High
255114,CLEVELAND NURSING AND REHABILITATION CENTER,MS,110.0989010989011,21158501.0,273,14446.62,0.0,23313.9,0.0,46795.14,0.0,84555.66,0.0,0.0,211585010.0,Very High
505202,VALLEY VIEW SKILLED NURSING AND REHABILITATION,WA,90.96703296703296,21136388.0,637,38388.28,0.0,43831.62,0.0,121954.91,0.0,204174.81,0.0,0.0,211363880.0,Very High
105057,PINES NURSING HOME,FL,44.05494505494506,21076874.0,455,10550.0,0.0,16732.5,0.0,47215.0,0.0,74497.5,0.0,0.0,210768740.0,Very High
185122,LANDMARK OF LOUISVILLE REHABILITATION AND NURSING,KY,177.74725274725276,6868134.0,1365,59377.5,142.5,298200.0,0.0,416913.75,112.5,774491.25,255.0,0.032924839370360864,208600379.87558824,Very High
345186,FIVE OAKS REHABILITATION AND CARE CENTER,NC,140.15384615384616,20583199.0,637,6468.77,142.51999999999998,75362.84,86.59,205315.6,54.6,287147.21,283.71,0.0988029798374151,208325690.519361,Very High
455589,FORTRESS NURSING AND REHABILITATION,TX,61.032967032967036,20125196.0,364,5104.8,0.0,14771.04,0.0,37395.6,0.0,57271.44,0.0,0.0,201251960.0,Very High
395883,BURGH CARE CENTER,PA,70.63736263736264,20015905.0,273,8050.5,0.0,13182.3,0.0,33630.9,0.0,54863.7,0.0,0.0,200159050.0,Very High
255113,RULEVILLE NURSING AND REHABILITATION CENTER LLC,MS,107.04395604395604,19776120.0,273,6429.21,0.0,27721.8,0.0,54511.14,0.0,88662.15,0.0,0.0,197761200.0,Very High
035217,REHAB AT SCOTTSDALE VILLAGE SQUARE,AZ,100.83516483516483,19765200.0,1183,47624.07,0.0,89965.2,0.0,384716.41,0.0,522305.67999999993,0.0,0.0,197652000.0,Very High
055167,VERNON HEALTHCARE CENTER,CA,96.86813186813187,19402656.0,546,7267.74,0.0,45834.3,0.0,139835.52,0.0,192937.56,0.0,0.0,194026560.0,Very High
455742,THE LEV AT SAN ANTONIO,TX,64.84615384615384,19386731.0,455,6142.75,0.0,18976.05,0.0,52189.6,0.0,77308.4,0.0,0.0,193867310.0,Very High
525098,WAUNAKEE VALLEY SENIOR LIVING,WI,56.395604395604394,19357338.0,1092,19064.76,0.0,36023.76,0.0,104661.48,0.0,159750.0,0.0,0.0,193573380.0,Very High
455970,RIVER VALLEY HEALTH & REHABILITATION CENTER,TX,47.76923076923077,19316024.0,182,562.42,0.0,8585.52,0.0,11343.36,0.0,20491.300000000003,0.0,0.0,193160240.0,Very High
275120,BILLINGS REHABILITATION AND NURSING LLC,MT,75.5934065934066,19271434.0,364,9263.16,0.0,11951.08,0.0,48281.36,0.0,69495.6,0.0,0.0,192714340.0,Very High
385263,REGENCY HERMISTON NURSING & REHAB CENTER,OR,66.28571428571429,19078514.0,273,8123.1,0.0,8431.08,0.0,49688.55,0.0,66242.73000000001,0.0,0.0,190785140.0,Very High
505309,REGENCY COUPEVILLE REHAB AND NURSING CENTER,WA,71.48351648351648,18894512.0,364,9462.6,0.0,22651.64,0.0,65155.6,0.0,97269.84,0.0,0.0,188945120.0,Very High
